"ano","juri","juri_nombre","sexo_codigo","sexo_nombre","edad","poblacion"
2015,"01","TOTAL DEL PAÍS","1","Varones","80-84",215439
2015,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",376016
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",341806
2015,"01","TOTAL DEL PAÍS","1","Varones","85-89",107103
2015,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",234703
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",141746
2015,"01","TOTAL DEL PAÍS","1","Varones","90-94",38173
2015,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",103573
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",35094
2015,"01","TOTAL DEL PAÍS","1","Varones","95-99",7867
2015,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",27227
2015,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",5933
2015,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1075
2015,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",4858
2016,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3757709
2016,"01","TOTAL DEL PAÍS","1","Varones","0-4",1933361
2016,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1824348
2016,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3621521
2016,"01","TOTAL DEL PAÍS","1","Varones","5-9",1864612
2016,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1756909
2016,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3508707
2016,"01","TOTAL DEL PAÍS","1","Varones","10-14",1797146
2016,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1711561
2016,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3527929
2016,"01","TOTAL DEL PAÍS","1","Varones","15-19",1795390
